"Página";"Sección";"Campo";"Texto actual";"Texto revisado";"Notas"
"Quiénes somos";"30 m, dosel";"Título";"El lugar";"";""
"Quiénes somos";"30 m, dosel";"Texto";"El dosel es la capa continua de copas donde el bosque atrapa casi toda la luz. Es la parte más viva y la más ruidosa: allí están las aves, las bromelias y la mayoría de los insectos. También es la capa que le da sombra a lo que crece abajo. Nos pareció el nombre correcto para una tienda que quiere ser eso: la capa donde pasan las cosas, y desde la cual se sostiene el resto.";"";""
"Quiénes somos";"10 m, sotobosque";"Título";"Los cafés";"";""
"Quiénes somos";"10 m, sotobosque";"Texto";"El café es un arbusto de sotobosque: evolucionó bajo sombra y ahí es donde mejor se comporta. Un cafetal con árboles encima madura más lento, resiste mejor la sequía y sostiene aves que un monocultivo a pleno sol no sostiene. Compramos, cuando podemos, a fincas que lo hacen así. No siempre se puede, y cuando no, lo decimos. La carta rota con la cosecha, y de vez en cuando entra un lote pequeño que aparece una vez y no vuelve: cuando pasa, lo anunciamos y dura lo que dure.";"";""
"Quiénes somos";"0 m, suelo";"Título";"La barra";"";""
"Quiénes somos";"0 m, suelo";"Texto";"En el suelo del bosque casi no entra luz y todo se descompone rápido. Es la parte menos vistosa y la que sostiene el resto. En la tienda es la barra, el horno y la gente que atiende: moler, pesar, servir y responder preguntas. Sin eso lo demás es un discurso.";"";""
"Quiénes somos";"Cierre";"Titular";"Si algo de esto te dio curiosidad, la carta es el mejor sitio para empezar.";"";""
"Quiénes somos";"Cierre";"Botón";"Ver los cafés";"";""
"Quiénes somos";"Cierre";"Enlace";"Talleres y métodos";"";""
"Experiencias";"Talleres";"Banda";"Talleres";"";""
"Experiencias";"Talleres";"Título";"Cosas que se hacen con las manos.";"";""
"Experiencias";"Talleres";"Bajada";"Los talleres son en grupos pequeños y no hace falta saber nada de antes. Llenas el formulario, se abre WhatsApp con tu reserva escrita, y el cupo queda confirmado cuando te respondamos.";"";""
"Experiencias";"Taller: Taller de galletas";"Nombre";"Taller de galletas";"";""
"Experiencias";"Taller: Taller de galletas";"Descripción";"Amasamos, cortamos y horneamos. Cada quien se lleva lo que hizo y, de paso, entiende por qué la mantequilla fría cambia todo. Dos horas, para todas las edades, sin experiencia previa.";"";""
"Experiencias";"Taller: Taller de galletas";"Cuándo se dicta";"miércoles, cada semana, a las 14:00 o 16:00";"";"PENDIENTE — día y frecuencia supuestos. Confirmar con el dueño"
"Experiencias";"Taller: Pintura de esculturas";"Nombre";"Pintura de esculturas";"";""
"Experiencias";"Taller: Pintura de esculturas";"Descripción";"Figuras de aves y hongos en yeso, pinceles, y el tiempo que haga falta. Antes de pintar hablamos de la especie: cómo es su plumaje real, dónde vive, por qué tiene esos colores. Se pinta mejor lo que se conoce.";"";""
"Experiencias";"Taller: Pintura de esculturas";"Cuándo se dicta";"viernes, una vez al mes (el 1º), a las 15:00";"";"PENDIENTE — día y frecuencia supuestos. Confirmar con el dueño"
"Experiencias";"Taller: Cata guiada";"Nombre";"Cata guiada";"";""
"Experiencias";"Taller: Cata guiada";"Descripción";"Tres orígenes, tres métodos, una mesa. Aprendes a separar aroma de sabor, a nombrar lo que sientes y a reconocer de dónde viene cada taza. Se termina sabiendo qué café pedir y por qué.";"";""
"Experiencias";"Taller: Cata guiada";"Cuándo se dicta";"viernes, cada semana, a las 16:00";"";"PENDIENTE — día y frecuencia supuestos. Confirmar con el dueño"
"Experiencias";"Formulario de reserva";"Campos";"Próximas fechas · Hora · Personas · Tu nombre · Algo que debamos saber (opcional)";"";""
"Experiencias";"Formulario de reserva";"Botón";"Enviar por WhatsApp";"";""
"Experiencias";"Formulario de reserva";"Nota";"Se abre WhatsApp con el mensaje escrito. El cupo queda confirmado cuando te respondamos.";"";""
"Experiencias";"Métodos";"Banda";"Mostrador";"";""
"Experiencias";"Métodos";"Título";"Los métodos, sin misterio.";"";""
"Experiencias";"Métodos";"Bajada";"Un método no es un capricho: cada uno extrae cosas distintas del mismo grano. Esto es lo que hace cada uno y cuándo lo escogemos.";"";""
"Experiencias";"Método: V60";"Nombre";"V60";"";""
"Experiencias";"Método: V60";"De dónde viene";"Japón, 2004. Hario, una fábrica de vidrio de Tokio fundada en 1921, le puso ese nombre por el ángulo del cono: 60 grados.";"";""
"Experiencias";"Método: V60";"Para qué se usa";"Filtrado por goteo, taza a taza. Es el método que más control le da a quien prepara: el agua cae donde uno la pone.";"";""
"Experiencias";"Método: V60";"Descripción";"El cono de 60° y las estrías en espiral dejan que el aire escape mientras el agua baja. El resultado es una taza limpia, sin sedimento, donde los aromas se separan y se pueden nombrar uno por uno. Es el método que usamos cuando queremos que un café se explique solo.";"";""
"Experiencias";"Método: V60";"Resalta";"Acidez cítrica alta, Perfiles florales, Lavados de altura";"";""
"Experiencias";"Método: Chemex";"Nombre";"Chemex";"";""
"Experiencias";"Método: Chemex";"De dónde viene";"Estados Unidos, 1941. La inventó Peter Schlumbohm, un químico alemán, inspirado en un embudo de laboratorio y un matraz Erlenmeyer.";"";""
"Experiencias";"Método: Chemex";"Para qué se usa";"Filtrado por goteo para varias tazas. El filtro es hasta 30% más grueso que uno común.";"";""
"Experiencias";"Método: Chemex";"Descripción";"Ese filtro grueso retiene más aceites y sólidos que cualquier otro método de papel. Lo que queda es una taza casi transparente, de textura ligera y dulzor muy definido. Si un café tiene un defecto, la Chemex lo muestra; si es limpio, lo vuelve elegante.";"";""
"Experiencias";"Método: Chemex";"Resalta";"Cafés delicados, Notas de té, Compartir en mesa";"";""
"Experiencias";"Método: Prensa francesa";"Nombre";"Prensa francesa";"";""
"Experiencias";"Método: Prensa francesa";"De dónde viene";"Disputada entre Francia e Italia. La patente que más se cita es italiana: Attilio Calimani, 1929.";"";""
"Experiencias";"Método: Prensa francesa";"Para qué se usa";"Inmersión total. El café y el agua conviven cuatro minutos antes de separarse.";"";""
"Experiencias";"Método: Prensa francesa";"Descripción";"Al no haber papel, los aceites del café pasan enteros a la taza. Eso da cuerpo, peso y una sensación redonda en la boca, a cambio de algo de sedimento en el fondo. Es el método más indulgente: perdona errores de molienda y no exige técnica.";"";""
"Experiencias";"Método: Prensa francesa";"Resalta";"Cuerpo alto, Notas a chocolate y nuez, Tuestes medios y oscuros";"";""
"Experiencias";"Método: Aeropress";"Nombre";"Aeropress";"";""
"Experiencias";"Método: Aeropress";"De dónde viene";"Estados Unidos, 2005. La diseñó Alan Adler, ingeniero de Stanford, que antes era conocido por fabricar frisbees de precisión.";"";""
"Experiencias";"Método: Aeropress";"Para qué se usa";"Inmersión corta con presión manual. Un minuto y medio de principio a fin.";"";""
"Experiencias";"Método: Aeropress";"Descripción";"Se empuja el agua a través del café con la mano, lo que acorta la extracción sin dejarla incompleta. Da una taza concentrada, de acidez suave y mucha claridad. Es el método más versátil que existe: cambiando molienda y tiempo, el mismo café puede saber a tres cosas distintas.";"";""
"Experiencias";"Método: Aeropress";"Resalta";"Concentrados, Acidez suave, Experimentar recetas";"";""
"Productos";"10 m, sotobosque";"Banda";"10 m, sotobosque";"";""
"Productos";"10 m, sotobosque";"Título";"De dónde viene cada café.";"";""
"Productos";"10 m, sotobosque";"Bajada";"El café es un arbusto de sotobosque: crece a la sombra de árboles más altos. Hoy tenemos [N] orígenes de [N] departamentos, entre [min] y [max] msnm. La altura no es un dato de adorno: entre más alto hace más frío, y con frío el grano madura más lento y acumula más azúcar. Toca un departamento para ver qué hay de ahí, o abre una ficha y el mapa te muestra la finca.";"";"Las cifras entre corchetes se calculan solas desde el catálogo de cafés"
"Productos";"Mapa";"Texto inicial del panel";"Toca un departamento verde para ver qué cafés vienen de ahí, o abre una ficha para ubicar su finca en el mapa.";"";""
"Productos";"0 m, suelo";"Banda";"0 m, suelo";"";""
"Productos";"0 m, suelo";"Título";"Para acompañar";"";""
"Productos";"0 m, suelo";"Bajada";"El suelo del bosque es la capa que sostiene todo lo demás; en la tienda es el mostrador. Ahí está la panadería y ACAB, nuestros snacks de fruta deshidratada.";"";""
"Productos";"Para acompañar";"Nombre de producto";"Galletas";"";"Nombre confirmado por el dueño"
"Productos";"Para acompañar";"Descripción de producto";"Hechas acá, con chocolate colombiano.";"";"PLACEHOLDER — texto inventado, pendiente de reemplazar"
"Productos";"Para acompañar";"Nombre de producto";"Torta de la casa";"";"Nombre confirmado por el dueño"
"Productos";"Para acompañar";"Descripción de producto";"La de chocolate. Húmeda, sin adornos.";"";"PLACEHOLDER — texto inventado, pendiente de reemplazar"
"Productos";"Para acompañar";"Nombre de producto";"Torta de naranja";"";"Nombre confirmado por el dueño"
"Productos";"Para acompañar";"Descripción de producto";"Con ralladura y jugo de naranja de verdad.";"";"PLACEHOLDER — texto inventado, pendiente de reemplazar"
"Productos";"Para acompañar";"Nombre de producto";"Pasteles";"";"Nombre confirmado por el dueño"
"Productos";"Para acompañar";"Descripción de producto";"De hojaldre, para acompañar el café.";"";"PLACEHOLDER — texto inventado, pendiente de reemplazar"
"Productos";"Para acompañar";"Nombre de producto";"Deditos de queso";"";"Nombre confirmado por el dueño"
"Productos";"Para acompañar";"Descripción de producto";"Mejor recién hechos, y así los servimos.";"";"PLACEHOLDER — texto inventado, pendiente de reemplazar"
"Productos";"Para acompañar";"Nombre de producto";"Capitana Piña";"";""
"Productos";"Para acompañar";"Descripción de producto";"ACAB. Piña deshidratada con canela.";"";"Confirmado por el dueño"
"Productos";"Para acompañar";"Nombre de producto";"Capitán Banano";"";""
"Productos";"Para acompañar";"Descripción de producto";"ACAB. Banano deshidratado con chocolate al 70 %, endulzado con eritritol y stevia.";"";"Confirmado por el dueño"
"Fichas de café";"(las 6 fichas)";"AVISO";"Los 6 cafés del sitio son de relleno: nombres, fincas, perfiles e historias están inventados. No hace falta revisar su texto — se reemplazan enteros cuando lleguen los datos reales. Lo que sí sirve es ver QUÉ se necesita de cada café; los campos están abajo con un ejemplo.";"";"PLACEHOLDER — los 6 se reemplazan con los datos del cliente"
"Fichas de café";"(ejemplo: Aguas Claras)";"Nombre del café";"Aguas Claras";"";"Dato a entregar por el cliente"
"Fichas de café";"(ejemplo: Aguas Claras)";"Municipio y departamento";"Salgar, del departamento con código CO-ANT";"";"Dato a entregar"
"Fichas de café";"(ejemplo: Aguas Claras)";"Finca";"Finca Aguas Claras";"";"Dato a entregar"
"Fichas de café";"(ejemplo: Aguas Claras)";"Altura (msnm)";"1620";"";"Dato a entregar"
"Fichas de café";"(ejemplo: Aguas Claras)";"Variedad / proceso / tueste";"Caturra / Honey / Medio-oscuro";"";"Dato a entregar"
"Fichas de café";"(ejemplo: Aguas Claras)";"Descripción de taza";"El suroeste antioqueño en su versión más reconocible: cuerpo redondo, dulzor de chocolate y un final largo. El proceso honey deja parte del mucílago en el grano al secar, y ese azúcar se queda en la taza.";"";"PLACEHOLDER — texto inventado, pendiente de reemplazar"
"Fichas de café";"(ejemplo: Aguas Claras)";"Qué oler (3 notas)";"Cacao, Nuez tostada, Caramelo";"";"Dato a entregar"
"Fichas de café";"(ejemplo: Aguas Claras)";"Qué probar (3 notas)";"Chocolate oscuro, Almendra, Ciruela";"";"Dato a entregar"
"Fichas de café";"(ejemplo: Aguas Claras)";"Historia del origen";"Salgar está en la cuenca del río Barroso, en la vertiente occidental de la cordillera Central. Las fincas de la zona son minifundios de ladera: casi todo se recoge a mano porque una máquina no sube esa pendiente.";"";"PLACEHOLDER — texto inventado, pendiente de reemplazar"
"Fichas de café";"(ejemplo: Aguas Claras)";"Llamado a la acción";"¿Lo quieres probar o llevar? Pregúntanos por disponibilidad de Aguas Claras — te decimos cómo va la cosecha antes de que vengas.";"";""
"Fichas de café";"(ejemplo: Aguas Claras)";"Botón";"Preguntar por este café";"";""
"Página no encontrada";"404";"Título";"Esta página no existe.";"";""
"Página no encontrada";"404";"Bajada";"Pasa: un enlace viejo, una dirección mal copiada. Lo que sí existe está acá abajo.";"";""
